Name,State,Abbreviation,Location,Funding,Fee,Founded
Osun State University,Osun,UNIOSUN,Osogbo,State,"350,000",2006
Plateau State University,Plateau,PLASU,Bokkos,State,"350,000",2005
Rivers State University,Rivers,RIVSU,Port Harcourt,State,"350,000",1972 (not a university until 1980)
Sule Lamido University,Jigawa,SLU,Kafin-Hausa,State,"350,000",2013
Tai Solarin University of Education,Ogun,TASUED,Ijebu Ode,State,"350,000",1978 (not a university until 2005)
Taraba State University,Taraba,TSU,Jalingo,State,"350,000",2011
Umaru Musa Yar'adua University,Katsina,UMYU,Katsina,State,"350,000",2006
Sokoto State University,Sokoto,SSU,Sokoto,State,"350,000",2009
"University of Delta, Agbor",Delta,UNIDEL,Agbor,State,"350,000",2021
Yusuf Maitama Sule University Kano,Kano,YUMSUK,Kano,State,"350,000",2012
Zamfara State University,Zamfara,ZSU,Talata Mafara,State,"350,000",2018
,,,,,No fees,
Nigeria Airforce University,Kaduna,AFIT,Kaduna,Military,No fees,1977 (not a university until 2018)
Nigeria Maritime University,Delta,NMU,Warri,Military,No fees,2018
Nigeria Police Academy Wudil,Kano,POLAC,Wudil,Police,No fees,2013
Nigerian Army University Biu,Borno,NUAB,Biu,Military,No fees,2018
Nigerian Defence Academy,Kaduna,NDA,Kaduna,Military,No fees,1964
,,,,,No fees,
Achievers University,Ondo,AC,Owo,Private,"850,000",2007
Adeleke University,Osun,AUE,Ede,Private,"850,000",2010
Afe Babalola University,Ekiti,ABUAD,Ado-Ekiti,Private,"850,000",2009
African University of Science and Technology,Federal Capital Territory,AUST,Abuja,Private,"850,000",2007
Ahman Pategi University,Kwara,-,Pategi,Private,"850,000",2021
Ajayi Crowther University,Oyo,ACU,Oyo,Private,"850,000",2005(Note 1)
Al-Ansar University,Borno,-,Maiduguri,Private,"850,000",2022
Al-Hikmah University,Kwara,AHU,Ilorin,Private,"850,000",2005
Al-Qalam University,Katsina,AUK,Katsina,Private,"850,000",2005
Al-Istiqama University,Kano,-,Sumaila,Private,"850,000",2021
American University of Nigeria,Adamawa,AUN,Yola,Private,"850,000",2005
Anan University,Plateau,-,Kwall,Private,"850,000",2021
Anchor University,Lagos,-,Ayobo,Private,"850,000",2014
Arthur Jarvis University,Cross River,AJU,Akpabuyo,Private,"850,000",2016
Atiba University,Oyo,-,Oyo,Private,"850,000",2017
Augustine University,Lagos,AUI,Ilara-Epe,Private,"850,000",2014
Ave Maria University,Nasarawa,-,Piyanko,Private,"850,000",2021
Babcock University,Ogun,BU,Ilishan-Remo,Private,"850,000",1959 (not a university until 1999)
Baze University,Federal Capital Territory,BAZE,Abuja,Private,"850,000",2011
Bells University of Technology,Ogun,BUT,Ota,Private,"850,000",2004
Benson Idahosa University,Edo,BIU,Benin City,Private,"850,000",2002
Bowen University,Osun,BU,Iwo,Private,"850,000",2001
Caleb University,Lagos,CUl,Ikorodu,Private,"850,000",2008
Capital City University of Nigeria,Kano,-,Kano,Private,"850,000",2021
Caritas University,Enugu,-,Enugu,Private,"850,000",2004[6]
CETEP City University,Lagos,-,Yaba,Private,"850,000",2005
Chrisland University,Ogun,-,Abeokuta,Private,"850,000",2015
Christopher University,Ogun,-,Mowe,Private,"850,000",2015
Claretian University,Imo,-,Nekede,Private,"850,000",2021
Clifford University,Abia,-,Owerrinta,Private,"850,000",2016
Coal City University,Enugu,CCU,Enugu,Private,"850,000",2016
Covenant University,Ogun,CU,Ota,Private,"850,000",2002
Crawford University,Ogun,-,Igbesa,Private,"850,000",2005
Crescent University,Ogun,-,Abeokuta,Private,"850,000",2005
Dominican University,Oyo,DUI,Ibadan,Private,"850,000",2016
Dominion University,Oyo,-,Ibadan,Private,"850,000",2019
ECWA Bingham University,Nasarawa,BU,New Karu,Private,"850,000",2005
Edwin Clark University,Delta,ECU,Kiagbodo,Private,"850,000",2015
Edusoko University,Niger,-,Bida,Private,"850,000",2021
Eko University of Medical and Health Sciences,Lagos,-,Ijanikin,Private,"850,000",2017
Elizade University,Ondo,EU,Ilara-Mokin,Private,"850,000",2012
"Evangel University, Akaeze",Ebonyi,EUA,Akaeze,Private,"850,000",2012
"Fountain University, Osogbo",Osun,FUO,Osogbo,Private,"850,000",2007
Godfrey Okoye University,Enugu,GOU,Enugu,Private,"850,000",2009
Greenfield University,Kaduna,-,Kaduna,Private,"850,000",2019
Gregory University,Abia,GUU,Uturu,Private,"850,000",2012
Hallmark University,Ogun,-,Ijebu-Itele,Private,"850,000",2015
Havilla University,Cross River,-,Nde-Ikom,Private,"850,000",2021
Hezekiah University,Imo,-,Umudi,Private,"850,000",2015
Igbinedion University,Edo,IUO,Okada,Private,"850,000",1999
James Hope University,Lagos,-,Lekki,Private,"850,000",2021
Joseph Ayo Babalola University,Osun,JABU,Ikeji-Arakeji,Private,"850,000",2006
Karl-Kumm University,Plateau,-,Vom,Private,"850,000",2021
Khadija University,Jigawa,-,Majia,Private,"850,000",2021
Kings University,Osun,KU,Odeomu,Private,"850,000",2015
Koladaisi University,Oyo,KU,Ibadan,Private,"850,000",2015
Kwararafa University,Taraba,-,Wukari,Private,"850,000",2005
Landmark University,Kwara,LU,Omu-Aran,Private,"850,000",2011
Lead City University,Oyo,-,Ibadan,Private,"850,000",2015
Legacy University,Anambra,-,Okija,Private,"850,000",2016
Madonna University,Rivers,-,Elele,Private,"850,000",1999
Maranathan University,Imo,-,Mgbidi,Private,"850,000",2021
Maryam Abacha American University of Nigeria,Kano,-,Kano,Private,"850,000",2021
McPherson University,Ogun,MCU,Seriki-Setayo,Private,"850,000",2012
Mewar University,Nasarawa,-,Masaka,Private,"850,000",2021
Michael and Cecilia Ibru University,Delta,MCIU,Agbara-Otor,Private,"850,000",2015
Mountain Top University,Ogun,MTU,Makogi Oba,Private,"850,000",2015
Mudiame University,Edo,-,Irrua,Private,"850,000",2021
Nile University of Nigeria,Federal Capital Territory,NUN,Abuja,Private,"850,000",2009[7]
NOK University,Kaduna,-,Kachia,Private,"850,000",2021
Novena University,Delta,-,Ogume,Private,"850,000",2005
Obong University,Akwa Ibom,-,Obong Ntak,Private,"850,000",1997 (not a university until 2007)
Oduduwa University,Osun,OUI,Ipetumodu,Private,"850,000",2009
PAMO University of Medical Sciences,Rivers,-,Port Harcourt,Private,"850,000",2017
Pan-Atlantic University,Lagos,PAU,Lekki,Private,"850,000",2002
Paul University,Anambra,-,Awka,Private,"850,000",2009
PEN Resource University,Gombe,PRU,Gombe,Private,"850,000",2022
Philomath University,Federal Capital Territory,PU,Kuje,Private,"850,000",2021
Precious Cornerstone University,Oyo,PCU,Ibadan,Private,"850,000",2017
Redeemer's University Nigeria,Osun,RUN,Ede,Private,"850,000",2005
Renaissance University,Enugu,-,Ugbawka,Private,"850,000",2005
Rhema University,Abia,-,Aba,Private,"850,000",2009
Ritman University,Akwa Ibom,-,Ikot Ekpene,Private,"850,000",2015
Salem University,Kogi,-,Lokoja,Private,"850,000",2007
Samuel Adegboyega University,Edo,SAU,Ogwa,Private,"850,000",2011
Skyline University Nigeria,Kano,SUN,Kano,Private,"850,000",2018
"Southwestern University, Nigeria",Ogun,-,Okun-Owa,Private,"850,000",2012
Spiritan University,Abia,-,Nneochi,Private,"850,000",2017
Summit University,Kwara,-,Offa,Private,"850,000",2015
Thomas Adewunmi University,Kwara,-,Oko-Irese,Private,"850,000",2021
Topfaith University,Akwa Ibom,-,Mkpatak,Private,"850,000",2021
"Trinity University, Nigeria",Ogun,-,Laloko,Private,"850,000",2019
Veritas University (Catholic University of Nigeria) Abuja,Federal Capital Territory,VUNA,Bwari,Private,"850,000",2007
Wesley University,Ondo,WUO,Ondo,Private,"850,000",2007
Western Delta University,Delta,WDU,Oghara,Private,"850,000",2007
Westland University,Osun,WUI,Iwo,Private,"850,000",2019
University of Offa,Kwara,-,Offa,Private,"850,000",2021
University of Mkar (formerly called Hilltop University),Benue,-,Mkar,Private,"850,000",2005
